,ITG Products,Date
0,Lord Jones All Natural Old Fashioned High CBD Gumdrops,1517360461
1,Augustinus Bader The Cream,1517360461
2,L'Oréal Voluminous Feline Mascara,1517360461
3,Ole Henriksen Banana Bright Eye Crème,1517360461
4,YSL Tatouage Couture Matte Stain in 7,1517360461
5,Dr. Jart+ Cicapair Tiger Grass Re.Pair Serum,1517360461
6,Vernon Francois Braids & Locs Spray,1517360461
7,Chanel Lip Balm and Powder Duo,1517360461
8,GHD Gold Professional Performance Flat Iron,1519779661
9,Biossance Micronutrient Fine Mist (Out on March 1),1519779661
10,Noto Multi Benne Stain in Ono Ono,1519779661
11,Cane & Austin Retexturize Lotion,1519779661
12,Sisley Black Rose Cream Mask,1519779661
13,Biologique Recherche Complexe Iribiol,1519779661
14,DHC Double Protection Mascara,1519779661
15,Erborian Yuza Double Lotion,1519779661
16,De Mamiel Intense Nurture Antioxidant Elixir,1522458061
17,Source Naturals Colloidal Silver,1522458061
18,Joanna Vargas Daily Serum,1522458061
19,Everything French Pharmacy,1522458061
20,Tylenol,1522458061
21,Farmacy Honey Drop Lightweight Moisturizer,1522458061
22,Koh Gen Do Brightening Moisture Mask,1522458061
23,Byredo Bibliothèque Room Spray,1525050061
24,Thayer's Alcohol Free Witch Hazel Toner,1525050061
25,Sunday Riley Good Genes Lactic Acid Treatment,1525050061
26,Diptyque Eau Rose Hair Mist,1525050061
27,Jason Markk Repel Spray,1525050061
28,Foreo Luna Mini,1525050061
29,Milani Matte Lipstick + Pat McGrath Gloss,1525050061
30,Laura Mercier Matte Bronzing Powder,1525050061
31,Paula's Choice 1% Retinol Booster,1527728461
32,La Roche Posay Effaclar Medicated Gel Cleanser,1527728461
33,Dr. Barbara Sturm Baby & Kids Body Cream,1527728461
34,Supergoop Super Power Sunscreen Mousse,1527728461
35,Regime des Fleurs Freeworld Parfum,1527728461
36,YSl Rouge Volupté Shine Oil-In-Stick in Red In The Dark,1527728461
37,Tenoverten Summer Trio,1527728461
38,& Other Stories Marble Blush in Coquille Heat,1527728461
39,MarulaOil Rare Oil Perfecting Hairspray,1530320461
40,Lemonhead Spacepaste,1530320461
41,Bastide Rose Olivier Provence Bar Soap,1530320461
42,Cloud Paint in Dawn,1530320461
43,Avène Tolérance Extrême Cleansing Lotion,1530320461
44,Dr. Jart Porecting Solution,1530320461
45,Flesh Thickstick Foundation in Toffee,1530320461
46,La Roche-Posay Lipikar Lotion,1530320461
47,Frederic Malle Signature Travel Case,1532998861
48,Renée Rouleau Redness Care Serum,1532998861
49,Eminence Calm Skin Arnica Masque,1532998861
50,Bioderma Sensibio Deo Anti-perspirant,1532998861
51,Stratia Liquid Gold,1532998861
52,Kimiko Super Fine Eyebrow Pencil in Coffee,1532998861
53,Donni Silk Chiquita Scrunchie,1532998861
54,Paula's Choice Hyaluronic Acid Booster,1532998861
55,Dr. Sturm Glow Drops,1532998861
56,Snail Bee High Content Mask Pack,1532998861
57,Environ Sun Care Sunscreen SPF 25,1535677261
58,Revlon Glow Gelee in Moon Glow,1535677261
59,Diptyque Figuier Scented Oval,1535677261
60,Dior Rouge Blush in Actrice,1535677261
61,Rohto Melano CC,1535677261
62,Bebé Zartrosé Lip Balm,1535677261
63,Paula's Choice 10% Azelaic Acid Booster,1535677261
64,Regime Des Fleurs Testers from the 'Personal/Space' + 'Pour Tous' collections,1535677261
65,Laura Mercier Secret Concealer,1535677261
66,Ritual Essential Vitamins,1535677261
67,Bumble and Bumble Surf Spray,1538269261
68,Megababe Rosy Pits Daily Deodorant,1538269261
69,RevitaLash,1538269261
70,Biologique Recherche Silk Plus Serum,1538269261
71,Agent Nateur Holi (oil) Youth Body Serum,1538269261
72,Make Marine Lip Repair,1538269261
73,Glossier Boy Brow in Black,1538269261
74,Charlotte Tilbury Cheek to Chic in Pillow Talk,1538269261
75,Nars Natural Radiant Longwear Foundation,1538269261
76,Dior Diorshow On Stage Liner in Matte Yellow,1538269261
77,The Ordinary Natural Moisturizing Factors + HA,1538269261
