,new_skincare_brand,new_skincare_product,new_generic_brand,new_generic_product,new_skincare_combo,new_generic_combo
0,dr. jart+,mask heroes face savers,dr. jart+,mask heroes face savers,dr. jart+ mask heroes face savers,dr. jart+ mask heroes face savers
1,moon juice,beauty shroom vegan collagen protection,moon juice,beauty shroom vegan collagen protection,moon juice beauty shroom vegan collagen protection,moon juice beauty shroom vegan collagen protection
2,moon juice,beauty shroom exfoliating acid potion,moon juice,beauty shroom exfoliating acid potion,moon juice beauty shroom exfoliating acid potion,moon juice beauty shroom exfoliating acid potion
3,sephora collection,face mask magic,sephora collection,face mask magic,sephora collection face mask magic,sephora collection face mask magic
4,laneige,kiss and make up set,milk makeup,meet the fam milk bestsellers set,laneige kiss and make up set,milk makeup meet the fam milk bestsellers set
5,drunk elephant,agent ellie day kit,beautyblender,sweet indulgence set,drunk elephant agent ellie day kit,beautyblender sweet indulgence set
6,olehenriksen,glow cycle retin-alt power serum,becca,shimmering skin perfector pressed highlighter mini macaron set,olehenriksen glow cycle retin-alt power serum,becca shimmering skin perfector pressed highlighter mini macaron set
7,welleco,the super elixir,too faced,the sweet smell of christmas-mini melted liquid lipstick set,welleco the super elixir,too faced the sweet smell of christmas-mini melted liquid lipstick set
8,la mer,merry little miracles,anastasia beverly hills,sultry eyeshadow palette,la mer merry little miracles,anastasia beverly hills sultry eyeshadow palette
9,drunk elephant,inspector drunk night kit,la mer,merry little miracles,drunk elephant inspector drunk night kit,la mer merry little miracles
10,tatcha,skincare for makeup lovers obento box,huda beauty,the overachiever high coverage concealer,tatcha skincare for makeup lovers obento box,huda beauty the overachiever high coverage concealer
11,sol de janeiro,bum bum carnaval extravaganza,sephora favorites,holiday perfume sampler,sol de janeiro bum bum carnaval extravaganza,sephora favorites holiday perfume sampler
12,fresh,sugar jetsetter,hourglass,ambient lighting edit volume 4,fresh sugar jetsetter,hourglass ambient lighting edit volume 4
13,drunk elephant,the big reveal kit,sunday riley,good genes holiday kit,drunk elephant the big reveal kit,sunday riley good genes holiday kit
14,olehenriksen,glow brightly - radiance-boosting super set,sephora collection,once upon a castle advent calendar,olehenriksen glow brightly - radiance-boosting super set,sephora collection once upon a castle advent calendar
15,fresh,destination sugar,dyson,airwrap styler,fresh destination sugar,dyson airwrap styler
16,summer fridays,overtime mask,yves saint laurent,mini tatouage collection,summer fridays overtime mask,yves saint laurent mini tatouage collection
17,peter thomas roth,mask frenzy,belif,merry merry moisturizers,peter thomas roth mask frenzy,belif merry merry moisturizers
18,fresh,sky high-dration,nars,little fetishes orgasm lip and blush set,fresh sky high-dration,nars little fetishes orgasm lip and blush set
19,algenist,secrets of algae kit,sephora collection,once upon a night blockbuster,algenist secrets of algae kit,sephora collection once upon a night blockbuster
20,olehenriksen,goodnight glow retin-alt sleeping crème,miu miu,l'eau rosee mini gift set,olehenriksen goodnight glow retin-alt sleeping crème,miu miu l'eau rosee mini gift set
21,clarisonic,mia prima sonic facial cleansing brush,nars,hot tryst cheek palette,clarisonic mia prima sonic facial cleansing brush,nars hot tryst cheek palette
22,herbivore,jade facial roller,drunk elephant,rescue party kit,herbivore jade facial roller,drunk elephant rescue party kit
23,kiehl's since 1851,brighten up & glow,fenty beauty by rihanna,killawatt foil freestyle highlighter palette,kiehl's since 1851 brighten up & glow,fenty beauty by rihanna killawatt foil freestyle highlighter palette
24,sunday riley,good genes holiday kit,it cosmetics,it's your life-changing skincare secret,sunday riley good genes holiday kit,it cosmetics it's your life-changing skincare secret
25,caudalie,brightening heroes,fenty beauty by rihanna,metallic eye + lip crayon set,caudalie brightening heroes,fenty beauty by rihanna metallic eye + lip crayon set
26,shiseido,everyday protection essentials,dior,joy by dior,shiseido everyday protection essentials,dior joy by dior
27,tatcha,pore-perfecting moisturizer & cleanser duo,hourglass,confession refillable lipstick duo,tatcha pore-perfecting moisturizer & cleanser duo,hourglass confession refillable lipstick duo
28,tatcha,bestsellers set,amorepacific,12 days of essential beauty,tatcha bestsellers set,amorepacific 12 days of essential beauty
29,laneige,sleep and glow set,charlotte tilbury,stars in your eyes eyshadow palette,laneige sleep and glow set,charlotte tilbury stars in your eyes eyshadow palette
30,origins,our best of the best,dyson,blown-a-ouai noir set,origins our best of the best,dyson blown-a-ouai noir set
31,kiehl's since 1851,bright delights,fenty beauty by rihanna,frosted metal lipstick set,kiehl's since 1851 bright delights,fenty beauty by rihanna frosted metal lipstick set
32,first aid beauty,skin summit,sand & sky,australian pink clay porefining face mask,first aid beauty skin summit,sand & sky australian pink clay porefining face mask
33,fresh,"ready, set, firm",fenty beauty by rihanna,pro filt'r complexion essentials,"fresh ready, set, firm",fenty beauty by rihanna pro filt'r complexion essentials
34,clarisonic,mia smart 3-in-1 connected sonic beauty device,sephora collection,cream lip stain collection set,clarisonic mia smart 3-in-1 connected sonic beauty device,sephora collection cream lip stain collection set
35,fresh,mask for miles,hourglass,confession refillable lipstick set,fresh mask for miles,hourglass confession refillable lipstick set
36,belif,merry merry moisturizers,origins,mini mask musts,belif merry merry moisturizers,origins mini mask musts
37,drunk elephant,rescue party kit,anastasia beverly hills,lip gloss set mini,drunk elephant rescue party kit,anastasia beverly hills lip gloss set mini
38,lancôme,lancôme holiday favorites,peter thomas roth,get drenched!,lancôme lancôme holiday favorites,peter thomas roth get drenched!
39,it cosmetics,it's your life-changing skincare secret,charlotte tilbury,party girl eye & lip kit,it cosmetics it's your life-changing skincare secret,charlotte tilbury party girl eye & lip kit
40,clinique,go-to glow set,sephora favorites,cologne sampler,clinique go-to glow set,sephora favorites cologne sampler
41,amorepacific,12 days of essential beauty,fenty beauty by rihanna,avalanche all-over metallic powder set,amorepacific 12 days of essential beauty,fenty beauty by rihanna avalanche all-over metallic powder set
42,glow recipe,limited edition watermelon jelly tote set,play! by sephora,play! smarts: k-beauty: skin innovation,glow recipe limited edition watermelon jelly tote set,play! by sephora play! smarts: k-beauty: skin innovation
43,olehenriksen,sauna glow - warming-cooling scrub & mask set,nars,spiked audacious lipstick,olehenriksen sauna glow - warming-cooling scrub & mask set,nars spiked audacious lipstick
44,glow recipe,blueberry bounce gentle cleanser,ghd,platinum+ professional performance 1\,glow recipe blueberry bounce gentle cleanser,ghd platinum+ professional performance 1\
45,sand & sky,australian pink clay porefining face mask,nars,little fetishes bronzer & highlighter set,sand & sky australian pink clay porefining face mask,nars little fetishes bronzer & highlighter set
46,play! by sephora,play! smarts: skincare by age: 40s,sunday riley,cleanse & detox aha/bha kit,play! by sephora play! smarts: skincare by age: 40s,sunday riley cleanse & detox aha/bha kit
47,caudalie,natural hydrating heroes,stila,3d dazzle mini glitter & glow liquid shadow set,caudalie natural hydrating heroes,stila 3d dazzle mini glitter & glow liquid shadow set
48,dr. jart+,holiday fantasy cera never runs dry,sephora collection,sephora pro editorial 2.0 palette,dr. jart+ holiday fantasy cera never runs dry,sephora collection sephora pro editorial 2.0 palette
49,drunk elephant,out of office,dior,diorific mat velvet colour lipstick,drunk elephant out of office,dior diorific mat velvet colour lipstick
50,caudalie,caudalie beauty secrets,clarisonic,mia smart cleanse & uplift holiday gift set,caudalie caudalie beauty secrets,clarisonic mia smart cleanse & uplift holiday gift set
51,sunday riley,flash fix kit,anastasia beverly hills,loose glitter,sunday riley flash fix kit,anastasia beverly hills loose glitter
52,dr. jart+,ceramidin cream,korres,wild rose radiance,dr. jart+ ceramidin cream,korres wild rose radiance
53,dr. jart+,superheroes skin transformers,fenty beauty by rihanna,match stix by the dozen,dr. jart+ superheroes skin transformers,fenty beauty by rihanna match stix by the dozen
54,charlotte tilbury,charlotte's magic cream,chanel,coco mademoiselle the essentials for the weekend,charlotte tilbury charlotte's magic cream,chanel coco mademoiselle the essentials for the weekend
55,glamglow,the superstar set,nars,manic velvet matte lip pencil set,glamglow the superstar set,nars manic velvet matte lip pencil set
56,dr. dennis gross skincare,c me sparkle,estée lauder,"repair and renew for radiant, youthful - looking skin",dr. dennis gross skincare c me sparkle,"estée lauder repair and renew for radiant, youthful - looking skin"
57,origins,mini mask musts,huda beauty,conceal & blend dual ended complexion brush,origins mini mask musts,huda beauty conceal & blend dual ended complexion brush
58,kate somerville,radically radiant,drybar,the brush crush heated straightening brush,kate somerville radically radiant,drybar the brush crush heated straightening brush
59,ren clean skincare,evercalm overnight recovery balm,fenty beauty by rihanna,mini fairy bomb,ren clean skincare evercalm overnight recovery balm,fenty beauty by rihanna mini fairy bomb
60,origins,"hello, calm relaxing & hydrating face mask with cannabis sativa seed oil",belif,winter waterdrop kit,"origins hello, calm relaxing & hydrating face mask with cannabis sativa seed oil",belif winter waterdrop kit
61,peter thomas roth,get drenched!,dior,rouge blush midnight wish,peter thomas roth get drenched!,dior rouge blush midnight wish
62,farmacy,cream of the crop,sephora collection,sephora pro smokey jewels palette,farmacy cream of the crop,sephora collection sephora pro smokey jewels palette
63,play! by sephora,play! smarts: k-beauty: skin innovation,anastasia beverly hills,metallic mini liquid lipstick set,play! by sephora play! smarts: k-beauty: skin innovation,anastasia beverly hills metallic mini liquid lipstick set
64,caudalie,ultimate anti-aging trio,hum nutrition,the sweetest thing,caudalie ultimate anti-aging trio,hum nutrition the sweetest thing
65,sunday riley,cleanse & detox aha/bha kit,givenchy,mystic glow powder,sunday riley cleanse & detox aha/bha kit,givenchy mystic glow powder
66,biossance,squalane + omega repair cream,biossance,love your face,biossance squalane + omega repair cream,biossance love your face
67,fresh,facial on the fly,sephora collection,sephora pro editorial 2.0 palette,fresh facial on the fly,sephora collection sephora pro editorial 2.0 palette
68,sephora collection,this is coco-nuts! set,kilian,my kind of love discovery set,sephora collection this is coco-nuts! set,kilian my kind of love discovery set
69,fresh,nonstop radiance,charlotte tilbury,hollywood lips lipstick mini set,fresh nonstop radiance,charlotte tilbury hollywood lips lipstick mini set
70,fresh,roundtrip ritual,murad,the ultimate glow-to's,fresh roundtrip ritual,murad the ultimate glow-to's
71,clarisonic,mia smart cleanse & uplift holiday gift set,viseart,grande pro volume i eyeshadow palette,clarisonic mia smart cleanse & uplift holiday gift set,viseart grande pro volume i eyeshadow palette
72,sunday riley,ceramic slip cleanser,dyson,special edition supersonic gift set,sunday riley ceramic slip cleanser,dyson special edition supersonic gift set
73,korres,wild rose radiance,fenty beauty by rihanna,mattemoiselle 10/10,korres wild rose radiance,fenty beauty by rihanna mattemoiselle 10/10
74,estée lauder,"repair and renew for radiant, youthful - looking skin",saturday skin,starlight bright,"estée lauder repair and renew for radiant, youthful - looking skin",saturday skin starlight bright
75,belif,winter waterdrop kit,bareminerals,deluxe original mineral veil setting powder stardust edition,belif winter waterdrop kit,bareminerals deluxe original mineral veil setting powder stardust edition
76,hum nutrition,the sweetest thing,sephora collection,enchanted sky eyeshadow palette,hum nutrition the sweetest thing,sephora collection enchanted sky eyeshadow palette
77,biossance,love your face,yves saint laurent,black opium cracker gift set,biossance love your face,yves saint laurent black opium cracker gift set
78,fresh,sugar carry-on,fenty beauty by rihanna,two lil mattemoiselles - chill owt edition,fresh sugar carry-on,fenty beauty by rihanna two lil mattemoiselles - chill owt edition
79,murad,the ultimate glow-to's,peter thomas roth,mask appeal,murad the ultimate glow-to's,peter thomas roth mask appeal
80,caudalie,mini mask trio,la mer,the luminous lifting cushion foundation spf 20 + refill,caudalie mini mask trio,la mer the luminous lifting cushion foundation spf 20 + refill
81,saturday skin,starlight bright,charlotte tilbury,the gift of magic skin mini skincare trio,saturday skin starlight bright,charlotte tilbury the gift of magic skin mini skincare trio
82,private doctor,minus serum,tarte,"amazonian clay customizable foundation, blush & primer set",private doctor minus serum,"tarte amazonian clay customizable foundation, blush & primer set"
83,peter thomas roth,mask appeal,dior,j'adore eau de parfum jewel,peter thomas roth mask appeal,dior j'adore eau de parfum jewel
84,charlotte tilbury,the gift of magic skin mini skincare trio,fenty beauty by rihanna,moroccan spice collection,charlotte tilbury the gift of magic skin mini skincare trio,fenty beauty by rihanna moroccan spice collection
85,origins,winter skin soothers,origins,winter skin soothers,origins winter skin soothers,origins winter skin soothers
86,murad,active retinol renewal kit,stila,shimmer heights mini shimmer & glow liquid eye shadow set,murad active retinol renewal kit,stila shimmer heights mini shimmer & glow liquid eye shadow set
87,it cosmetics,it's time to celebrate you!,dior,diorshow pump 'n' volume set,it cosmetics it's time to celebrate you!,dior diorshow pump 'n' volume set
88,clarisonic,mia smart cleanse and blend holiday gift set,drybar,the big crushin’ smoothing + styling bundle,clarisonic mia smart cleanse and blend holiday gift set,drybar the big crushin’ smoothing + styling bundle
89,amorepacific,bamboo me beautiful,it cosmetics,je ne sais quoi hydrating color awakening lip treatment confetti popper,amorepacific bamboo me beautiful,it cosmetics je ne sais quoi hydrating color awakening lip treatment confetti popper
90,clarisonic,poreless skin holiday gift set: mia smart x kiehl's,clarisonic,mia smart cleanse and blend holiday gift set,clarisonic poreless skin holiday gift set: mia smart x kiehl's,clarisonic mia smart cleanse and blend holiday gift set
91,welleco,the super elixir,charlotte tilbury,beauty universe makeup & skincare set,welleco the super elixir,charlotte tilbury beauty universe makeup & skincare set
