,List,Price,Product Name,Product Type,Skin Type,Year
0,Natural Products,$82,Tata Harper Regenerating Cleanser,FACIAL CLEANSER,none,2018
1,Natural Products,$60,Drunk Elephant Lala Retro Whipped Cream,FACIAL MOISTURIZER,none,2018
2,Natural Products,$34,Drunk Elephant Umbra Sheer Physical Daily Defense SPF 30,FACIAL SUNSCREEN,none,2018
3,Natural Products,$12,Alba Botanica Very Emollient Body Lotion in Original,BODY LOTION,none,2018
4,Natural Products,$9,Alba Botanica Hawaiian Sunscreen Green Tea SPF 45,BODY SUNSCREEN,none,2018
5,Natural Products,$12,Carol's Daughter Black Vanilla Moisture & Shine Sulfate-Free Shampoo,SHAMPOO AND CONDITIONER,none,2018
6,Natural Products,$26,Aveda Smooth Infusion Naturally Straight,STYLING CREAM,none,2018
7,Natural Products,$19,BareMinerals Flawless Definition Mascara,MASCARA,none,2018
8,Natural Products,$41,BareMinerals Ready Eyeshadow 8.0 in The Power Neutrals,EYE SHADOW,none,2018
9,Natural Products,$24,BareMinerals Ready Blush,BLUSH,none,2018
10,Natural Products,$29,BareMinerals Original Foundation,FOUNDATION,none,2018
11,Natural Products,$21,BareMinerals Correcting Concealer,CONCEALER,none,2018
12,Natural Products,$30,BareMinerals Complexion Rescue Tinted Hydrating Gel Cream,TINTED MOISTURIZER,none,2018
13,Natural Products,$3,Burt’s Bees Beeswax Lip Balm,LIP BALM,none,2018
14,Natural Products,$9,Burt’s Bees Lipstick in Juniper Water,LIPSTICK,none,2018
15,Skincare,$9,Garnier SkinActive Soothing Rose Water Cleansing Milk,FACIAL CLEANSER,Normal Skin,2018
16,Skincare,$38,Tatcha The Deep Cleanse,FACIAL CLEANSER,Oily Skin,2018
17,Skincare,$24,L’Occitane Shea 3-in-1 Cleansing Water,FACIAL CLEANSER,Dry Skin,2018
18,Skincare,$6,Burt’s Bees Micellar Cleansing Towelettes,FACIAL CLEANSER,Cleansing Wipes,2018
19,Skincare,$15,Lumene Valo Glow Lumenessence Brightening Beauty Lotion,TONER / ESSENCE,,2018
20,Skincare,$12,"Mario Badescu Facial Spray with Aloe, Chamomile and Lavender",FACIAL MIST,,2018
