,Product Type,Product Name,Price,Skin Type
0,BODY WASH: Moisturizing,Too Cool for School Coconut Milky Oil Shower,$20,none
1,BODY WASH: Exfoliating,Olay Microscrubbing Cleansing Infusion Hydrating Glow Body Wash With Crushed Ginger,$5,none
2,BODY WASH: Bar,Seaweed Bath Co. Exfoliating Detox Body Soap,$8,none
3,BODY SCRUB,Mary Kay Satin Body Revitalizing Shea Scrub,$18,none
4,BODY LOTION: Light,Aveeno Positively Radiant Body Lotion,$7,none
5,BODY LOTION: Rich,Skinfix Calm & Nourish Body Cream,$45,none
6,BODY LOTION: Spot Treatment,Dove DermaSeries Dry Skin Relief Expert Repairing Balm,$17,none
7,BODY LOTION: Oil,Ren Clean Skincare Atlantic Kelp and Microalgae Anti-Fatigue Toning Body Oil,$50,none
8,BODY SUNSCREEN,Neutrogena Hydro Boost Water Gel Lotion SPF 50,$13,none
9,BODY SUNSCREEN,Bare Republic Mineral Vanilla-Coco Sunscreen Spray SPF 50,$15,none
10,BODY BRONZER: Traditional Self-Tanner,Coola Organic Sunless Tan Sculpting Mousse,$48,none
11,BODY BRONZER: Gradual Self-Tanner,Jergens Natural Glow Daily Moisturizer,$10,none
12,BODY BRONZER: Bronzer,Vita Liberata Body Blur HD Skin Finish,$45,none
13,BATH PRODUCT,Goop G.Nite Bedtime Bath Soak,$35,none
14,DEODORANT,Kopari Coconut Oil Deodorant,$14,none
15,ANTIPERSPIRANT,Dove Dry Spray Antiperspirant in Rejuvenate,$6,none
16,HAIR REMOVAL: Shaving Cream,EOS Shave Cream,$5,none
17,HAIR REMOVAL: Razor,Gillette Venus Swirl,$15,none
18,HAIR REMOVAL: Trimmer,Gillette Venus Bikini Precision,$20,none
19,TEETH WHITENER,Crest 3D White Professional Effects Whitestrips,$45,none
