,Product Type,Product Name,Price,Skin Type,List,Year
0,LIPSTICK,Vapour Organic Beauty Siren Lipstick,$25,None,Reader's Choice,2018
1,LIP GLOSS,Nyx Butter Gloss in Crème Brûlée,$5,None,Reader's Choice,2018
2,BLUSH,Tarte Amazonian Clay 12-Hour Blush,$29,None,Reader's Choice,2018
3,EYE SHADOW,Urban Decay Naked2 Palette,$54,None,Reader's Choice,2018
4,EYELINER,Kat Von D Tattoo Liner,$20,None,Reader's Choice,2018
5,MASCARA,L’Oréal Paris Voluminous Lash Paradise Mascara,$10,None,Reader's Choice,2018
6,CONCEALER,Nars Radiant Creamy Concealer,$30,None,Reader's Choice,2018
7,BB/CC CREAM,IT Cosmetics Your Skin But Better CC+ Cream,$38,None,Reader's Choice,2018
8,FOUNDATION,Vapour Organic Beauty Atmosphere Luminous Foundation,$46,None,Reader's Choice,2018
9,NAIL POLISH,OPI Nail Lacquer in Lincoln Park After Dark,$11,None,Reader's Choice,2018
10,MAKEUP BRUSH,Morphe M433 Pro Firm Blending Fluff Brush,$6,None,Reader's Choice,2018
