,Product Name,Posting Date,Upvotes,Source
0,drunk elephant,2014-05-10 21:08:34,3,Sephora Best
1,anastasia beverly hills,2014-03-11 10:57:42,2,Sephora Best
2,fenty beauty by rihanna,2017-12-01 14:08:43,1,Sephora Best
3,la mer,2012-01-10 17:26:34,1,Sephora Best
4,huda beauty,2017-01-18 21:42:49,4,Sephora Best
5,dyson,2014-07-01 04:54:22,3,Sephora Best
6,nars,2012-11-08 21:40:23,2,Sephora Best
7,viktor&rolf,2017-12-10 12:06:57,1,Sephora Best
8,laura mercier,2012-07-11 15:59:35,3,Sephora Best
9,olaplex,2015-08-22 21:06:39,1,Sephora Best
10,too faced,2012-05-24 22:13:51,1,Sephora Best
11,laneige,2012-07-25 18:21:18,4,Sephora Best
12,make up for ever,2012-05-24 14:13:18,2,Sephora Best
13,sephora collection,2013-02-20 16:43:06,3,Sephora Best
14,chanel,2012-03-14 01:36:45,1,Sephora Best
15,it cosmetics,2012-01-10 18:57:20,2,Sephora Best
16,sol de janeiro,2016-10-10 15:28:59,7,Sephora Best
17,chloé,2012-12-22 02:19:03,3,Sephora Best
18,tatcha,2013-04-01 17:42:29,2,Sephora Best
19,giorgio armani beauty,2014-11-24 16:07:29,8,Sephora Best
20,fresh,2012-01-23 22:09:09,3,Sephora Best
21,olehenriksen,2012-10-16 17:30:28,3,Sephora Best
22,lancôme,2012-08-31 19:43:05,2,Sephora Best
23,kat von d,2013-04-06 22:03:50,3,Sephora Best
24,herbivore,2013-04-27 15:25:33,2,Sephora Best
25,marc jacobs beauty,2016-10-08 22:44:48,2,Sephora Best
26,drybar,2015-03-11 12:57:59,1,Sephora Best
27,benefit cosmetics,2013-02-24 20:40:41,7,Sephora Best
28,beautyblender,2013-05-23 14:07:37,5,Sephora Best
29,summer fridays,2014-11-10 16:54:24,29,Sephora Best
30,yves saint laurent,2013-05-04 18:08:56,6,Sephora Best
31,living proof,2012-08-10 02:26:42,2,Sephora Best
32,peter thomas roth,2012-04-23 21:15:54,2,Sephora Best
33,tarte,2012-05-01 23:46:04,2,Sephora Best
34,algenist,2012-12-05 15:28:12,2,Sephora Best
35,kiehl's since 1851,2014-03-02 22:14:06,2,Sephora Best
36,tom ford,2012-11-29 22:02:09,8,Sephora Best
37,sunday riley,2014-02-16 18:55:40,1,Sephora Best
38,moroccanoil,2013-01-07 12:56:04,1,Sephora Best
39,dior,2012-06-19 23:05:03,2,Sephora Best
40,caudalie,2017-10-07 17:45:16,1,Sephora Best
41,dolce&gabbana,2014-07-21 20:27:02,3,Sephora Best
42,clarisonic,2012-01-13 23:59:00,1,Sephora Best
43,bareminerals,2012-08-28 15:14:09,1,Sephora Best
44,dr. jart+,2012-11-08 19:59:54,10,Sephora Best
45,amika,2013-05-03 13:57:09,2,Sephora Best
46,becca,2012-12-01 17:29:14,1,Sephora Best
47,urban decay,2012-05-24 23:35:03,5,Sephora Best
48,shiseido,2012-02-07 13:12:22,1,Sephora Best
49,hourglass,2012-11-29 21:18:43,1,Sephora Best
50,first aid beauty,2012-06-07 13:44:15,2,Sephora Best
51,briogeo,2016-12-28 13:27:19,2,Sephora Best
52,gucci,2014-03-10 06:05:55,20,Sephora Best
53,buxom,2013-08-29 10:23:53,1,Sephora Best
54,bite beauty,2013-05-19 23:25:26,1,Sephora Best
55,grande cosmetics,2017-08-19 09:14:58,3,Sephora Best
56,belif,2015-07-21 07:17:38,1,Sephora Best
57,smashbox,2012-04-21 20:41:14,1,Sephora Best
58,clinique,2012-01-14 18:47:11,2,Sephora Best
59,pat mcgrath labs,N/A,N/A,Sephora Best
60,glow recipe,2013-07-30 16:39:53,3,Sephora Best
61,invisibobble,2016-06-03 19:03:13,3,Sephora Best
62,milk makeup,2012-05-31 08:31:35,1,Sephora Best
63,maison margiela,2018-03-04 14:11:43,1,Sephora Best
64,charlotte tilbury,2013-11-06 08:49:57,5,Sephora Best
65,versace,2013-10-09 10:28:24,1,Sephora Best
66,ouai,2016-05-14 07:52:44,3,Sephora Best
67,cover fx,2012-12-05 23:01:16,1,Sephora Best
68,biossance,2016-02-18 15:59:57,1,Sephora Best
69,dr. dennis gross skincare,2018-10-11 13:18:11,1,Sephora Best
70,bumble and bumble,2013-01-06 18:34:25,1,Sephora Best
71,glamglow,2013-02-09 12:42:09,4,Sephora Best
72,stella mccartney,2015-08-04 22:26:45,-6,Sephora Best
73,givenchy,2012-06-25 07:11:12,3,Sephora Best
74,amorepacific,2013-04-10 19:51:17,1,Sephora Best
75,kate somerville,2012-11-08 23:03:15,5,Sephora Best
76,play! by sephora,2014-06-27 12:46:23,1,Sephora Best
77,juliette has a gun,2017-11-02 03:42:42,1,Sephora Best
78,ren clean skincare,2013-11-11 13:02:06,2,Sephora Best
79,t3,2013-06-14 10:10:56,17,Sephora Best
80,protini polypeptide cream,2018-01-06 11:41:15,1,Sephora Best
