,Product Name,Posting Date,Upvotes,Source
0,mask heroes face savers,N/A,N/A,Sephora New
1,beauty shroom vegan collagen protection,N/A,N/A,Sephora New
2,beauty shroom exfoliating acid potion,N/A,N/A,Sephora New
3,face mask magic,2013-05-22 00:14:41,11,Sephora New
4,kiss and make up set,2015-10-17 01:11:53,7,Sephora New
5,agent ellie day kit,N/A,N/A,Sephora New
6,glow cycle retin-alt power serum,2018-09-16 20:30:11,1,Sephora New
7,the super elixir,2013-10-01 11:57:05,6,Sephora New
8,merry little miracles,N/A,N/A,Sephora New
9,inspector drunk night kit,2018-09-26 08:35:25,1,Sephora New
10,bum bum carnaval extravaganza,N/A,N/A,Sephora New
11,skincare for makeup lovers obento box,N/A,N/A,Sephora New
12,sugar jetsetter,N/A,N/A,Sephora New
13,glow brightly - radiance-boosting super set,N/A,N/A,Sephora New
14,the big reveal kit,2014-11-11 01:08:35,1,Sephora New
15,jade facial roller,2014-04-23 20:09:20,4,Sephora New
16,destination sugar,N/A,N/A,Sephora New
17,overtime mask,2013-09-03 11:47:28,1,Sephora New
18,sky high-dration,N/A,N/A,Sephora New
19,mask frenzy,2018-09-30 05:11:04,1,Sephora New
20,good genes holiday kit,N/A,N/A,Sephora New
21,secrets of algae kit,N/A,N/A,Sephora New
22,goodnight glow retin-alt sleeping crème,N/A,N/A,Sephora New
23,brighten up & glow,2012-04-15 10:34:32,1,Sephora New
24,brightening heroes,N/A,N/A,Sephora New
25,sleep and glow set,2013-11-21 09:11:21,14,Sephora New
26,bestsellers set,2014-11-26 17:00:59,1,Sephora New
27,everyday protection essentials,2018-03-28 03:59:11,1,Sephora New
28,"ready, set, firm",N/A,N/A,Sephora New
29,our best of the best,2012-02-07 05:47:44,2,Sephora New
30,mia smart 3-in-1 connected sonic beauty device,N/A,N/A,Sephora New
31,skin summit,2015-06-02 11:19:53,1,Sephora New
32,bright delights,N/A,N/A,Sephora New
33,pore-perfecting moisturizer & cleanser duo,2017-08-04 14:48:28,1,Sephora New
34,mask for miles,2013-12-25 00:39:15,1,Sephora New
35,rescue party kit,N/A,N/A,Sephora New
36,merry merry moisturizers,2013-12-25 20:35:04,1,Sephora New
37,lancôme holiday favorites,N/A,N/A,Sephora New
38,go-to glow set,2013-09-17 00:29:38,1,Sephora New
39,australian pink clay porefining face mask,N/A,N/A,Sephora New
40,limited edition watermelon jelly tote set,N/A,N/A,Sephora New
41,sauna glow - warming-cooling scrub & mask set,N/A,N/A,Sephora New
42,blueberry bounce gentle cleanser,2018-02-11 19:39:35,1,Sephora New
43,it's your life-changing skincare secret,N/A,N/A,Sephora New
44,superheroes skin transformers,N/A,N/A,Sephora New
45,natural hydrating heroes,N/A,N/A,Sephora New
46,ceramidin cream,2014-02-27 18:28:22,1,Sephora New
47,caudalie beauty secrets,N/A,N/A,Sephora New
48,ultimate anti-aging trio,N/A,N/A,Sephora New
49,c me sparkle,2014-05-16 11:00:52,1,Sephora New
50,the superstar set,2018-02-24 23:05:57,3,Sephora New
51,the trunk,2013-01-15 08:02:27,1,Sephora New
52,flash fix kit,2018-01-04 08:33:24,1,Sephora New
53,out of office,2012-10-25 15:40:03,2,Sephora New
54,12 days of essential beauty,2016-02-06 03:14:23,11,Sephora New
55,radically radiant,N/A,N/A,Sephora New
56,play! smarts: skincare by age: 40s,N/A,N/A,Sephora New
57,evercalm overnight recovery balm,N/A,N/A,Sephora New
58,holiday fantasy cera never runs dry,N/A,N/A,Sephora New
59,"hello, calm relaxing & hydrating face mask with cannabis sativa seed oil",N/A,N/A,Sephora New
60,cleanse & detox aha/bha kit,N/A,N/A,Sephora New
61,play! smarts: k-beauty: skin innovation,N/A,N/A,Sephora New
62,cream of the crop,2012-06-01 22:50:19,5,Sephora New
63,charlotte's magic cream,N/A,N/A,Sephora New
64,roundtrip ritual,N/A,N/A,Sephora New
65,nonstop radiance,N/A,N/A,Sephora New
66,this is coco-nuts! set,N/A,N/A,Sephora New
67,facial on the fly,2017-09-17 16:21:35,2,Sephora New
